Well,well,0.06,0.37
the,the,0.48,0.61
years,years,0.61,0.86
start,start,0.87,1.13
coming,coming,1.17,1.5299999999999998
and,and,1.53,1.67
they,they,1.67,1.76
don't,don't,1.76,1.97
stop,stop,1.98,2.3
coming,coming,2.31,2.63
Fed,fed,2.88,3.15
to,to,3.15,3.32
the,the,3.32,3.46
rules,rules,3.46,3.81
and,and,3.81,3.97
I,i,3.97,4.0600000000000005
hit,hit,4.06,4.22
the,the,4.22,4.3
ground,ground,4.3,4.63
running,running,4.64,4.96
Didn't,didn't,5.21,5.52
make,make,5.54,5.7700000000000005
sense,sense,5.77,6.09
not,not,6.11,6.29
to,to,6.29,6.35
live,live,6.35,6.6
for,for,6.61,6.840000000000001
fun,fun,6.84,7.21
Your,your,7.36,7.5200000000000005
brain,brain,7.52,7.829999999999999
gets,gets,7.83,8.03
smart,smart,8.03,8.37
but,but,8.37,8.5
your,your,8.5,8.66
head,head,8.66,8.9
gets,gets,8.9,9.19
dumb,dumb,9.2,9.33
