All,all,1.16,1.4
the,the,1.4,1.54
pictures,pictures,1.58,1.98
of,of,2.08,2.25
your,your,2.25,2.37
mother,mother,2.37,2.79
all,all,2.83,2.99
the,the,3.01,3.13
places,places,3.13,3.59
that,that,3.6,3.8600000000000003
you,you,3.86,4.04
know,know,4.04,4.35
All,all,4.4,4.61
the,the,4.61,4.75
lessons,lessons,4.75,5.21
of,of,5.21,5.43
your,your,5.43,5.6
lovers,lovers,5.6,6.05
and,and,6.05,6.26
the,the,6.26,6.34
things,things,6.34,6.66
you,you,6.66,6.78
never,never,6.78,7.140000000000001
show,show,7.14,7.52
You,you,7.57,7.59
know,know,7.71,7.99
you,you,7.99,8.17
could,could,8.2,8.399999999999999
be,be,8.41,8.6
mistaking,mistaking,8.599999,9.219999
me,me,9.22,9.39
for,for,9.389999,9.569999
somebody,somebody,9.57,10.41
else,else,10.44,10.76
All,all,10.79,10.989999999999998
the,the,11.02,11.2
roses,roses,11.2,11.61
you,you,11.62,11.799999999999999
can,can,11.8,11.950000000000001
send,send,11.95,12.25
to,to,12.25,12.36
me,me,12.36,12.58
could,could,12.58,12.74
sit,sit,12.74,12.98
on,on,13.19,13.42
my,my,13.42,13.54
shelf,shelf,13.54,13.989999999999998
Now,now,13.99,14.14
my,my,14.139999,14.329998999999999
chain,chain,14.33,14.67
is,is,14.67,14.8
feeling,feeling,14.799999,15.239999
heavy,heavy,15.24,15.67
on,on,15.67,15.81
my,my,15.809999,15.829998999999999
neck,neck,15.94,16.37
when,when,16.4,16.669999999999998
I,i,16.699999,16.819999
write,write,16.82,17.2
But,but,17.199999,17.349998999999997
my,my,17.359999,17.589999
heart,heart,17.59,17.81
is,is,17.84,18.0
beating,beating,18.0,18.32
steady,steady,18.32,18.82
and,and,18.82,19.06
I,i,19.08,19.159999999999997
know,know,19.16,19.45
it,it,19.449999,19.619999
never,never,19.709999,19.969999
lies,lies,19.999999,20.389999
Dead,dead,20.419999,20.589999
could,could,20.589999,20.739999
dead,dead,20.739999,21.009999
could,could,21.009999,21.159999
start,start,21.159999,21.429999
to,to,21.429999,21.529999
feel,feel,21.529999,22.039999
and,and,22.039999,22.249999
your,your,22.249999,22.359999
eyes,eyes,22.359999000000002,22.619999
will,will,22.639999,22.689999
start,start,22.709999,23.009999
to,to,23.009999,23.149999
flood,flood,23.149999,23.609999
If,if,23.609999000000002,23.849999
you,you,23.849999,23.989999
know,know,23.989999,24.029999
the,the,24.2,24.36
kind,kind,24.36,24.64
of,of,24.64,24.7
steel,steel,24.71,25.17
running,running,25.18,25.61
in,in,25.61,25.78
my,my,25.79,26.009999999999998
royal,royal,26.009999999999998,26.339999999999996
blood,blood,26.380000000000003,26.790000000000003
