well,well,0.01,0.27
the,the,0.48,0.59
hogs,hogs,0.64,0.87
start,start,0.87,0.92
coming,coming,1.33,1.69
and,and,2.0,2.03
they,they,2.03,2.0999999999999996
don't,don't,2.15,2.27
stop,stop,2.82,2.86
coming,coming,2.86,3.1599999999999997
three,three,3.17,3.4
to,to,3.41,3.5300000000000002
five,five,3.53,3.8
minutes,minutes,3.81,3.99
and,and,4.4,4.510000000000001
thirty,thirty,4.55,4.89
to,to,4.92,5.03
fifty,fifty,5.03,5.4
come,come,5.44,5.66
running,running,5.66,5.94
didn’t,didn't,5.95,6.23
make,make,6.31,6.569999999999999
sense,sense,6.58,6.89
not,not,7.13,7.2
to,to,7.2,7.2700000000000005
shoot,shoot,7.27,7.47
my,my,7.5,7.72
gun,gun,7.72,7.97
feral,feral,7.97,8.25
hogs,hogs,8.26,8.42
are,are,8.599999,8.679999
smart,smart,8.679999,8.929999
and,and,9.11,9.219999999999999
I,i,9.4,9.41
am,am,9.41,9.48
dumb,dumb,9.51,9.67
