well,well,0.04,0.56
the,the,0.6,0.74
hogs,hogs,0.74,1.1
start,start,1.11,1.5
coming,coming,1.5,1.83
and,and,1.83,1.9400000000000002
they,they,1.94,2.08
don't,don't,2.09,2.36
stop,stop,2.37,2.72
coming,coming,2.72,3.25
three,three,3.31,3.5700000000000003
to,to,3.57,3.69
five,five,3.69,4.11
minutes,minutes,4.11,4.53
and,and,4.53,4.720000000000001
thirty,thirty,4.72,5.05
fifty,fifty,5.05,5.49
come,come,5.49,5.75
running,running,5.75,6.21
didn’t,didn't,6.25,6.65
make,make,6.65,6.91
sense,sense,7.01,7.3
not,not,7.31,7.6
to,to,7.61,7.74
shoot,shoot,7.74,8.02
my,my,8.05,8.260000000000002
gun,gun,8.26,8.73
feral,feral,8.76,9.24
hogs,hogs,9.25,9.59
are,are,9.59,9.709999999999999
smart,smart,9.75,10.05
and,and,10.05,10.200000000000001
I,i,10.2,10.309999999999999
am,am,10.309999,10.469999
dumb,dumb,10.469999,10.949999
