My,my,0.77,1.06
friend,friend,1.06,1.28
has,has,1.28,1.45
problems,problems,1.51,1.96
with,with,1.96,2.11
winter,winter,2.14,2.48
and,and,2.53,2.67
autumn,autumn,2.75,3.14
They,they,3.14,3.2800000000000002
give,give,3.33,3.54
him,him,3.54,3.71
prescriptions,prescriptions,3.71,4.36
They,they,4.36,4.510000000000001
shine,shine,4.51,4.76
bright,bright,4.77,4.989999999999999
lights,lights,4.99,5.23
on,on,5.23,5.37
him,him,5.37,5.6000000000000005
They,they,5.6,5.77
say,say,5.81,5.96
it's,it's,6.04,6.2
genetic,genetic,6.2,6.79
They,they,6.79,6.99
say,say,7.01,7.18
he,he,7.18,7.359999999999999
can't,can't,7.43,7.66
help,help,7.76,7.89
it,it,7.89,7.909999999999999
They,they,8.04,8.219999999999999
say,say,8.22,8.440000000000001
you,you,8.45,8.62
can,can,8.87,9.01
catch,catch,9.01,9.11
it,it,9.11,9.26
But,but,9.26,9.43
sometimes,sometimes,9.58,9.9
you're,you're,9.9,10.040000000000001
born,born,10.3,10.370000000000001
with,with,10.37,10.58
it,it,10.58,10.73
My,my,10.74,10.92
friend,friend,10.92,11.18
has,has,11.36,11.389999999999999
blight,blight,11.389999,11.559999
he,he,11.62,11.78
gets,gets,11.78,11.95
shakes,shakes,11.95,12.25
in,in,12.25,12.41
the,the,12.41,12.53
night,night,12.53,12.76
And,and,12.82,13.0
they,they,13.009999,13.179999
say,say,13.179999,13.379999
there,there,13.61,13.729999999999999
is,is,13.73,13.85
no,no,13.849999,14.009999
way,way,14.009999,14.219999000000001
That,that,14.25,14.47
they,they,14.469999,14.609999
could,,,
have,,,
caught,,,
it,it,15.339999,15.529999
in,in,15.53,15.66
Time,time,15.69,15.86
takes,takes,15.88,16.12
its,its,16.119999,16.269999
toll,toll,16.27,16.57
on,on,16.57,16.68
him,him,16.68,16.94
it,it,17.24,17.279999999999998
is,is,17.279999,17.299999
traditional,traditional,17.299999,18.139999
It,it,18.27,18.37
is,is,18.389999,18.609999
inherited,inherited,18.66,19.39
predisposition,predisposition,19.47,20.53
All,all,20.53,20.67
day,day,20.67,20.76
I've,,,
been,,,
wondering,,,
What,,,
is,,,
inside,,,
of,,,
me,,,
Who,,,
can,,,
I,,,
blame,,,
for,,,
it,,,
I,,,
say,,,
It,,,
runs,,,
in,,,
the,,,
family,,,
this,,,
famine,,,
that,,,
carries,,,
me,,,
To,,,
such,,,
great,,,
lengths,,,
To,,,
open,,,
my,my,20.93,21.08
legs,legs,21.240000000000002,21.28
Up,up,21.28,21.34
